cell_id,district,latitude,longitude,gpm_grid_cell,observation_timestamp,source,source_product,source_resolution,rainfall_rate,rainfall_30min,rainfall_3h,rainfall_6h,rainfall_24h,rainfall_72h,rainfall_duration_h,antecedent_rainfall_7d,data_status,source_timestamp,ingestion_timestamp,quality_flag
KOH_00030,Kohima,25.689728,93.904509,GPM_0.1DEG_N25.65_E093.95,2026-09-20T05:30:00+00:00,NASA / JAXA GPM Constellation,GPM_3IMERGHH_V07B_EARLY,0.1 deg (~10 km) Half-Hourly (~4h latency),0.2900,0.1450,,,,,2.5,,AVAILABLE,2026-09-20T05:30:00+00:00,2026-09-20T11:29:17.992757+00:00,"PASSED_VERIFICATION;WINDOWS_INCOMPLETE:3H,6H,24H,72H,7D"
KOH_00031,Kohima,25.693836,93.905628,GPM_0.1DEG_N25.65_E093.95,2026-09-20T05:30:00+00:00,NASA / JAXA GPM Constellation,GPM_3IMERGHH_V07B_EARLY,0.1 deg (~10 km) Half-Hourly (~4h latency),0.2900,0.1450,,,,,2.5,,AVAILABLE,2026-09-20T05:30:00+00:00,2026-09-20T11:29:17.992757+00:00,"PASSED_VERIFICATION;WINDOWS_INCOMPLETE:3H,6H,24H,72H,7D"
KOH_00032,Kohima,25.696804,93.906491,GPM_0.1DEG_N25.65_E093.95,2026-09-20T05:30:00+00:00,NASA / JAXA GPM Constellation,GPM_3IMERGHH_V07B_EARLY,0.1 deg (~10 km) Half-Hourly (~4h latency),0.2900,0.1450,,,,,2.5,,AVAILABLE,2026-09-20T05:30:00+00:00,2026-09-20T11:29:17.992757+00:00,"PASSED_VERIFICATION;WINDOWS_INCOMPLETE:3H,6H,24H,72H,7D"
KOH_00033,Kohima,25.628342,93.910366,GPM_0.1DEG_N25.65_E093.95,2026-09-20T05:30:00+00:00,NASA / JAXA GPM Constellation,GPM_3IMERGHH_V07B_EARLY,0.1 deg (~10 km) Half-Hourly (~4h latency),0.2900,0.1450,,,,,2.5,,AVAILABLE,2026-09-20T05:30:00+00:00,2026-09-20T11:29:17.992757+00:00,"PASSED_VERIFICATION;WINDOWS_INCOMPLETE:3H,6H,24H,72H,7D"
KOH_00034,Kohima,25.631493,93.908879,GPM_0.1DEG_N25.65_E093.95,2026-09-20T05:30:00+00:00,NASA / JAXA GPM Constellation,GPM_3IMERGHH_V07B_EARLY,0.1 deg (~10 km) Half-Hourly (~4h latency),0.2900,0.1450,,,,,2.5,,AVAILABLE,2026-09-20T05:30:00+00:00,2026-09-20T11:29:17.992757+00:00,"PASSED_VERIFICATION;WINDOWS_INCOMPLETE:3H,6H,24H,72H,7D"
KOH_00035,Kohima,25.635750,93.908575,GPM_0.1DEG_N25.65_E093.95,2026-09-20T05:30:00+00:00,NASA / JAXA GPM Constellation,GPM_3IMERGHH_V07B_EARLY,0.1 deg (~10 km) Half-Hourly (~4h latency),0.2900,0.1450,,,,,2.5,,AVAILABLE,2026-09-20T05:30:00+00:00,2026-09-20T11:29:17.992757+00:00,"PASSED_VERIFICATION;WINDOWS_INCOMPLETE:3H,6H,24H,72H,7D"
KOH_00036,Kohima,25.640264,93.908610,GPM_0.1DEG_N25.65_E093.95,2026-09-20T05:30:00+00:00,NASA / JAXA GPM Constellation,GPM_3IMERGHH_V07B_EARLY,0.1 deg (~10 km) Half-Hourly (~4h latency),0.2900,0.1450,,,,,2.5,,AVAILABLE,2026-09-20T05:30:00+00:00,2026-09-20T11:29:17.992757+00:00,"PASSED_VERIFICATION;WINDOWS_INCOMPLETE:3H,6H,24H,72H,7D"
KOH_00037,Kohima,25.644779,93.908644,GPM_0.1DEG_N25.65_E093.95,2026-09-20T05:30:00+00:00,NASA / JAXA GPM Constellation,GPM_3IMERGHH_V07B_EARLY,0.1 deg (~10 km) Half-Hourly (~4h latency),0.2900,0.1450,,,,,2.5,,AVAILABLE,2026-09-20T05:30:00+00:00,2026-09-20T11:29:17.992757+00:00,"PASSED_VERIFICATION;WINDOWS_INCOMPLETE:3H,6H,24H,72H,7D"
KOH_00038,Kohima,25.649293,93.908678,GPM_0.1DEG_N25.65_E093.95,2026-09-20T05:30:00+00:00,NASA / JAXA GPM Constellation,GPM_3IMERGHH_V07B_EARLY,0.1 deg (~10 km) Half-Hourly (~4h latency),0.2900,0.1450,,,,,2.5,,AVAILABLE,2026-09-20T05:30:00+00:00,2026-09-20T11:29:17.992757+00:00,"PASSED_VERIFICATION;WINDOWS_INCOMPLETE:3H,6H,24H,72H,7D"
KOH_00039,Kohima,25.653808,93.908712,GPM_0.1DEG_N25.65_E093.95,2026-09-20T05:30:00+00:00,NASA / JAXA GPM Constellation,GPM_3IMERGHH_V07B_EARLY,0.1 deg (~10 km) Half-Hourly (~4h latency),0.2900,0.1450,,,,,2.5,,AVAILABLE,2026-09-20T05:30:00+00:00,2026-09-20T11:29:17.992757+00:00,"PASSED_VERIFICATION;WINDOWS_INCOMPLETE:3H,6H,24H,72H,7D"
KOH_00040,Kohima,25.658322,93.908746,GPM_0.1DEG_N25.65_E093.95,2026-09-20T05:30:00+00:00,NASA / JAXA GPM Constellation,GPM_3IMERGHH_V07B_EARLY,0.1 deg (~10 km) Half-Hourly (~4h latency),0.2900,0.1450,,,,,2.5,,AVAILABLE,2026-09-20T05:30:00+00:00,2026-09-20T11:29:17.992757+00:00,"PASSED_VERIFICATION;WINDOWS_INCOMPLETE:3H,6H,24H,72H,7D"
KOH_00041,Kohima,25.662837,93.908781,GPM_0.1DEG_N25.65_E093.95,2026-09-20T05:30:00+00:00,NASA / JAXA GPM Constellation,GPM_3IMERGHH_V07B_EARLY,0.1 deg (~10 km) Half-Hourly (~4h latency),0.2900,0.1450,,,,,2.5,,AVAILABLE,2026-09-20T05:30:00+00:00,2026-09-20T11:29:17.992757+00:00,"PASSED_VERIFICATION;WINDOWS_INCOMPLETE:3H,6H,24H,72H,7D"
