cell_id,district,latitude,longitude,spatial_block_id,slope_mean,elevation_mean,curvature_mean,twi_mean,terrain_susceptibility_score,terrain_susceptibility_class,pu_terrain_similarity,pu_similarity_class,primary_terrain_contributors,label_status,historical_event_id
KOH_00038,Kohima,25.649293,93.908678,BLK_KOH_R14_C20,39.622055,1371.782471,0.189697,4.918559,68.97,MODERATE,0.1467,DISSIMILAR_TERRAIN,"Slope (65%), TWI (8%), Curvature (5%), Relief (22%)",UNKNOWN,
KOH_00039,Kohima,25.653808,93.908712,BLK_KOH_R14_C20,35.497459,1161.666992,-0.026225,5.472549,73.81,HIGH,0.459,MODERATE_TERRAIN_SIMILARITY,"Slope (56%), TWI (12%), Curvature (11%), Relief (21%)",UNKNOWN,
KOH_00040,Kohima,25.658322,93.908746,BLK_KOH_R14_C20,34.294819,1107.268921,-0.10747,5.58833,75.82,HIGH,0.47,MODERATE_TERRAIN_SIMILARITY,"Slope (54%), TWI (13%), Curvature (13%), Relief (20%)",UNKNOWN,
KOH_00041,Kohima,25.662837,93.908781,BLK_KOH_R14_C20,28.038973,1185.286987,0.244178,5.338507,61.38,MODERATE,0.551,MODERATE_TERRAIN_SIMILARITY,"Slope (59%), TWI (14%), Curvature (3%), Relief (24%)",UNKNOWN,
KOH_00042,Kohima,25.667352,93.908815,BLK_KOH_R14_C20,34.06229,1183.79895,-0.012213,5.136939,69.65,MODERATE,0.5061,MODERATE_TERRAIN_SIMILARITY,"Slope (57%), TWI (10%), Curvature (11%), Relief (22%)",UNKNOWN,
KOH_00043,Kohima,25.671866,93.908849,BLK_KOH_R14_C20,25.449137,1141.135742,-0.181416,6.075345,71.07,HIGH,0.8707,HIGH_TERRAIN_SIMILARITY,"Slope (44%), TWI (18%), Curvature (16%), Relief (22%)",UNKNOWN,
KOH_00044,Kohima,25.676381,93.908883,BLK_KOH_R15_C20,27.616665,1239.880615,0.199369,5.150026,63.72,MODERATE,0.3682,LOW_TERRAIN_SIMILARITY,"Slope (60%), TWI (11%), Curvature (5%), Relief (24%)",UNKNOWN,
KOH_00045,Kohima,25.680895,93.908918,BLK_KOH_R15_C20,32.987076,1105.134521,0.260221,5.148067,64.52,MODERATE,0.3248,LOW_TERRAIN_SIMILARITY,"Slope (63%), TWI (11%), Curvature (3%), Relief (23%)",UNKNOWN,
KOH_00046,Kohima,25.68541,93.908952,BLK_KOH_R15_C20,24.101374,868.797791,-0.151401,5.977636,69.99,MODERATE,0.7344,MODERATE_TERRAIN_SIMILARITY,"Slope (46%), TWI (18%), Curvature (16%), Relief (20%)",UNKNOWN,
KOH_00047,Kohima,25.689924,93.908986,BLK_KOH_R15_C20,22.78508,798.93457,0.031458,5.667041,60.37,MODERATE,0.8017,HIGH_TERRAIN_SIMILARITY,"Slope (48%), TWI (17%), Curvature (11%), Relief (24%)",UNKNOWN,
KOH_00048,Kohima,25.694439,93.90902,BLK_KOH_R15_C20,14.751417,701.052246,-0.022138,6.525874,52.75,MODERATE,0.4488,MODERATE_TERRAIN_SIMILARITY,"Slope (38%), TWI (30%), Curvature (15%), Relief (17%)",UNKNOWN,
KOH_00049,Kohima,25.698578,93.909694,BLK_KOH_R15_C20,19.592644,737.850769,-0.026277,6.037341,58.8,MODERATE,0.7178,MODERATE_TERRAIN_SIMILARITY,"Slope (43%), TWI (22%), Curvature (14%), Relief (21%)",UNKNOWN,
KOH_00050,Kohima,25.701947,93.910956,BLK_KOH_R15_C20,10.994639,852.38623,0.240548,5.567161,27.74,VERY_LOW,0.1977,LOW_TERRAIN_SIMILARITY,"Slope (52%), TWI (35%), Curvature (8%), Relief (5%)",UNKNOWN,
KOH_00051,Kohima,25.623305,93.915139,BLK_KOH_R13_C20,17.71282,1829.101807,-0.122813,7.89249,65.2,MODERATE,0.1625,LOW_TERRAIN_SIMILARITY,"Slope (33%), TWI (37%), Curvature (16%), Relief (14%)",UNKNOWN,
KOH_00052,Kohima,25.626903,93.913745,BLK_KOH_R13_C20,24.180202,1999.860596,-0.025302,6.399302,65.76,MODERATE,0.4637,MODERATE_TERRAIN_SIMILARITY,"Slope (42%), TWI (23%), Curvature (12%), Relief (23%)",UNKNOWN,
KOH_00053,Kohima,25.631204,93.913521,BLK_KOH_R14_C20,22.34794,2162.61377,0.16405,5.596591,63.07,MODERATE,0.134,DISSIMILAR_TERRAIN,"Slope (58%), TWI (16%), Curvature (6%), Relief (20%)",UNKNOWN,
KOH_00054,Kohima,25.635718,93.913556,BLK_KOH_R14_C20,39.447487,2075.893555,0.191409,4.936917,69.05,MODERATE,0.0846,DISSIMILAR_TERRAIN,"Slope (65%), TWI (8%), Curvature (5%), Relief (22%)",UNKNOWN,
KOH_00055,Kohima,25.640233,93.91359,BLK_KOH_R14_C20,41.401409,1756.153442,-0.283749,5.666621,84.3,HIGH,0.049,DISSIMILAR_TERRAIN,"Slope (53%), TWI (12%), Curvature (16%), Relief (19%)",UNKNOWN,
KOH_00056,Kohima,25.644748,93.913624,BLK_KOH_R14_C20,38.362644,1652.880005,0.18202,5.092377,70.23,HIGH,0.1533,LOW_TERRAIN_SIMILARITY,"Slope (64%), TWI (10%), Curvature (5%), Relief (21%)",UNKNOWN,
KOH_00057,Kohima,25.649262,93.913659,BLK_KOH_R14_C20,42.32946,1421.116211,0.044407,5.20906,74.06,HIGH,0.1742,LOW_TERRAIN_SIMILARITY,"Slope (61%), TWI (10%), Curvature (9%), Relief (20%)",UNKNOWN,
KOH_00058,Kohima,25.653777,93.913693,BLK_KOH_R14_C20,33.280445,1282.14563,-0.157272,5.81094,75.81,HIGH,0.6218,MODERATE_TERRAIN_SIMILARITY,"Slope (51%), TWI (15%), Curvature (15%), Relief (19%)",UNKNOWN,
KOH_00059,Kohima,25.658291,93.913728,BLK_KOH_R14_C20,39.784424,1363.863159,0.141166,4.9277,70.12,HIGH,0.15,DISSIMILAR_TERRAIN,"Slope (64%), TWI (8%), Curvature (6%), Relief (22%)",UNKNOWN,
KOH_00060,Kohima,25.662806,93.913762,BLK_KOH_R14_C20,25.216831,1300.576172,-0.216498,6.604596,74.6,HIGH,0.7533,HIGH_TERRAIN_SIMILARITY,"Slope (41%), TWI (22%), Curvature (17%), Relief (20%)",UNKNOWN,
KOH_00061,Kohima,25.66732,93.913796,BLK_KOH_R14_C20,31.520487,1428.062256,0.213633,5.241285,63.82,MODERATE,0.4679,MODERATE_TERRAIN_SIMILARITY,"Slope (60%), TWI (12%), Curvature (4%), Relief (24%)",UNKNOWN,
KOH_00062,Kohima,25.671835,93.913831,BLK_KOH_R14_C20,35.62936,1366.038696,0.089268,5.09855,69.31,MODERATE,0.3639,LOW_TERRAIN_SIMILARITY,"Slope (61%), TWI (10%), Curvature (8%), Relief (21%)",UNKNOWN,
