cell_id,district,exposure_status,nearest_road_distance_m,nearest_road_class,road_length_in_cell_m,nearest_hospital_distance_m,nearest_hospital_name,nearest_school_distance_m,nearest_school_name
AIZ_08648,Aizawl,AVAILABLE,1426.7,trunk,0.0,9356.2,CHC; Sakawrdai,11619.7,Children's Training School
AIZ_08649,Aizawl,AVAILABLE,1022.1,trunk,0.0,8856.3,CHC; Sakawrdai,11285.6,Children's Training School
AIZ_08650,Aizawl,AVAILABLE,694.2,trunk,0.0,8356.4,CHC; Sakawrdai,10964.1,Children's Training School
AIZ_08651,Aizawl,AVAILABLE,462.1,trunk,0.0,7856.6,CHC; Sakawrdai,10656.4,Children's Training School
AIZ_08652,Aizawl,AVAILABLE,357.9,trunk,0.0,7356.7,CHC; Sakawrdai,10363.7,Children's Training School
AIZ_08653,Aizawl,AVAILABLE,367.8,trunk,0.0,6856.9,CHC; Sakawrdai,10087.3,Children's Training School
AIZ_08654,Aizawl,AVAILABLE,383.3,trunk,0.0,6357.1,CHC; Sakawrdai,9828.6,Children's Training School
AIZ_08655,Aizawl,AVAILABLE,159.6,trunk,267.5,5857.3,CHC; Sakawrdai,9589.0,Children's Training School
AIZ_08656,Aizawl,AVAILABLE,415.2,trunk,0.0,5357.5,CHC; Sakawrdai,9369.9,Children's Training School
AIZ_08657,Aizawl,AVAILABLE,2.8,trunk,856.2,4857.8,CHC; Sakawrdai,9172.9,Children's Training School
AIZ_08658,Aizawl,AVAILABLE,136.7,trunk,728.6,4358.2,CHC; Sakawrdai,8999.4,Children's Training School
AIZ_08659,Aizawl,AVAILABLE,340.5,trunk,0.0,3858.7,CHC; Sakawrdai,8850.8,Children's Training School
AIZ_08660,Aizawl,AVAILABLE,293.6,trunk,0.0,3359.3,CHC; Sakawrdai,8728.4,Children's Training School
AIZ_08661,Aizawl,AVAILABLE,390.8,trunk,0.0,2860.2,CHC; Sakawrdai,8633.2,Children's Training School
AIZ_08662,Aizawl,AVAILABLE,260.3,trunk,0.0,2361.3,CHC; Sakawrdai,8566.2,Children's Training School
AIZ_08663,Aizawl,AVAILABLE,187.8,trunk,516.1,1863.2,CHC; Sakawrdai,8528.0,Children's Training School
AIZ_08664,Aizawl,AVAILABLE,22.3,trunk,706.4,1366.3,CHC; Sakawrdai,8519.0,Children's Training School
AIZ_08665,Aizawl,AVAILABLE,6.1,trunk,1076.8,873.1,CHC; Sakawrdai,8539.4,Children's Training School
AIZ_08666,Aizawl,AVAILABLE,107.7,residential,1252.4,397.3,CHC; Sakawrdai,8588.8,Children's Training School
AIZ_08667,Aizawl,AVAILABLE,234.3,residential,82.3,230.9,CHC; Sakawrdai,8666.9,Children's Training School
AIZ_08668,Aizawl,AVAILABLE,272.0,residential,23.6,669.9,CHC; Sakawrdai,8772.8,Children's Training School
AIZ_08669,Aizawl,AVAILABLE,235.3,residential,117.1,1159.4,CHC; Sakawrdai,8905.6,Children's Training School
AIZ_08670,Aizawl,AVAILABLE,410.7,residential,0.0,1655.2,CHC; Sakawrdai,9064.0,Children's Training School
AIZ_08671,Aizawl,AVAILABLE,485.8,trunk,0.0,2153.0,CHC; Sakawrdai,9246.9,Children's Training School
AIZ_08672,Aizawl,AVAILABLE,554.9,trunk,0.0,2651.5,CHC; Sakawrdai,9452.6,Children's Training School
AIZ_08673,Aizawl,AVAILABLE,617.2,trunk,0.0,3150.6,CHC; Sakawrdai,9679.8,Children's Training School
AIZ_08674,Aizawl,AVAILABLE,768.6,trunk,0.0,3649.9,CHC; Sakawrdai,9927.0,Children's Training School
AIZ_08675,Aizawl,AVAILABLE,911.5,trunk,0.0,4149.4,CHC; Sakawrdai,10192.8,Children's Training School
AIZ_08676,Aizawl,AVAILABLE,989.6,trunk,0.0,4648.9,CHC; Sakawrdai,10475.7,Children's Training School
AIZ_08677,Aizawl,AVAILABLE,797.5,residential,0.0,5148.6,CHC; Sakawrdai,10774.4,Children's Training School
AIZ_08678,Aizawl,AVAILABLE,515.2,residential,0.0,5648.3,CHC; Sakawrdai,11087.6,Children's Training School
AIZ_08679,Aizawl,AVAILABLE,359.8,trunk,0.0,6148.1,CHC; Sakawrdai,11414.1,Children's Training School
AIZ_08680,Aizawl,AVAILABLE,61.0,trunk,1212.6,6647.9,CHC; Sakawrdai,11752.9,Children's Training School
AIZ_08681,Aizawl,AVAILABLE,123.6,trunk,479.6,7147.7,CHC; Sakawrdai,12102.8,Children's Training School
AIZ_08682,Aizawl,AVAILABLE,182.0,trunk,485.5,7647.6,CHC; Sakawrdai,12462.9,Children's Training School
