cell_id,district,lat,lon,elevation_mean,elevation_min,elevation_max,slope_mean,slope_max,aspect_mean,curvature_mean,twi_mean
KOH_00069,Kohima,25.703223,93.914305,896.388977,817.787659,970.003296,18.151382,32.784378,3.759855,0.089317,5.653584
KOH_00070,Kohima,25.706433,93.915753,953.551086,899.009644,977.041687,18.272009,32.321926,255.581390,0.372005,5.246790
KOH_00071,Kohima,25.613882,93.919179,1656.669922,1576.495605,1722.162842,21.933649,42.129795,61.388119,0.258494,5.332263
KOH_00072,Kohima,25.617634,93.918871,1666.114868,1578.613403,1724.881714,17.410759,33.970192,49.972252,-0.069513,6.129477
KOH_00073,Kohima,25.622168,93.918462,1789.815308,1714.392334,1860.569214,15.796314,26.713020,357.416504,0.012504,6.186313
KOH_00074,Kohima,25.626658,93.918467,1915.178711,1828.748047,2017.510864,18.157722,24.044542,340.291351,-0.025098,6.615001
KOH_00075,Kohima,25.631173,93.918501,2076.083740,1971.765869,2182.006104,19.756180,27.348194,337.629486,-0.005943,6.038334
KOH_00076,Kohima,25.635687,93.918536,2200.031738,2021.439453,2269.848145,24.709427,55.833458,332.127289,0.306632,5.329475
KOH_00077,Kohima,25.640202,93.918570,2008.828979,1767.364746,2201.628418,41.886490,61.791065,167.316330,0.126135,4.895613
KOH_00078,Kohima,25.644716,93.918605,1662.017212,1424.654663,1906.635742,42.083038,58.720142,191.065872,-0.235447,5.600616
KOH_00079,Kohima,25.649231,93.918640,1369.380493,1234.616943,1518.023682,33.495415,53.670876,107.313797,-0.349901,6.117570
KOH_00080,Kohima,25.653746,93.918674,1459.015625,1284.002686,1623.608765,31.624910,46.637341,46.764069,-0.086537,5.721623
KOH_00081,Kohima,25.658260,93.918709,1504.748047,1320.136230,1614.879150,31.986536,51.785606,127.656326,0.017974,5.526712
KOH_00082,Kohima,25.662775,93.918743,1527.725220,1325.986694,1742.882446,34.727036,49.240353,57.183216,0.029752,5.435299
KOH_00083,Kohima,25.667289,93.918778,1640.646973,1478.249512,1785.603149,32.612141,49.559078,93.308266,0.337108,4.946419
KOH_00084,Kohima,25.671804,93.918812,1415.823242,1208.043091,1595.125732,35.917694,55.548313,167.462921,0.214237,5.067936
KOH_00085,Kohima,25.676318,93.918847,1011.667725,882.630493,1252.936279,36.252407,59.774952,195.465485,-0.341906,6.041585
KOH_00086,Kohima,25.680833,93.918882,953.445312,847.511597,1114.588379,32.342613,54.186794,71.295525,-0.317065,5.734166
KOH_00087,Kohima,25.685347,93.918916,1028.379395,835.750366,1174.837280,31.487106,55.209099,88.216255,0.139892,5.201098
KOH_00088,Kohima,25.689862,93.918951,901.013123,788.226318,1037.556641,24.449636,45.407593,163.777008,0.017202,5.675542
KOH_00089,Kohima,25.694376,93.918986,849.703430,745.471497,1003.056091,25.428972,38.008934,43.540920,-0.135703,5.791252
KOH_00090,Kohima,25.698891,93.919020,901.658569,805.014404,1028.641724,22.220415,38.414860,109.610390,0.048137,5.531545
KOH_00091,Kohima,25.703406,93.919055,894.235413,844.587280,948.710999,15.275108,30.807920,298.457458,0.121258,5.771760
KOH_00092,Kohima,25.707732,93.919307,835.524048,714.315918,950.148499,24.604254,42.528194,221.420670,0.036672,5.596728
KOH_00093,Kohima,25.711096,93.920644,696.254822,653.548157,769.573486,26.860348,41.135506,200.210922,-0.073968,5.461303
KOH_00094,Kohima,25.609213,93.923826,1789.166870,1653.861206,1921.363281,28.786539,43.696396,150.131195,-0.014328,5.428212
KOH_00095,Kohima,25.613084,93.923344,1689.989624,1600.586426,1781.844849,16.627256,41.417271,142.712891,-0.094418,6.422972
KOH_00096,Kohima,25.617598,93.923377,1672.337891,1633.110107,1758.659912,18.816792,39.982254,73.266457,-0.083607,6.039737
KOH_00097,Kohima,25.622112,93.923412,1769.539795,1648.942139,1894.072632,21.843702,53.953571,358.837280,-0.037453,6.001701
KOH_00098,Kohima,25.626627,93.923447,1902.568970,1825.146606,1980.691162,16.496582,25.197195,17.365152,-0.066409,6.825298
KOH_00099,Kohima,25.631141,93.923481,2048.963135,1962.288818,2121.386719,17.026571,26.090864,6.894264,0.003324,6.289978
KOH_00100,Kohima,25.635656,93.923516,2164.132568,2106.546143,2254.729736,15.663809,44.055729,348.334351,0.050431,6.203746
KOH_00101,Kohima,25.640170,93.923551,2090.533447,1784.398804,2274.038818,39.303085,58.527603,132.516724,-0.111650,5.252427
KOH_00102,Kohima,25.644685,93.923586,1880.028076,1542.092896,2167.458984,45.344044,57.355873,119.107101,0.170596,4.945677
KOH_00103,Kohima,25.649200,93.923620,1594.263428,1401.443359,1846.797607,37.081688,55.056751,102.634392,-0.200845,6.098068
KOH_00104,Kohima,25.653714,93.923655,1685.903320,1514.355103,1844.947632,33.670727,56.355225,61.159286,0.220521,5.146273
KOH_00105,Kohima,25.658229,93.923690,1623.593994,1504.164917,1740.993408,28.703402,53.335339,79.221588,-0.268579,6.093153
KOH_00106,Kohima,25.662743,93.923725,1738.550781,1574.402344,1842.067261,27.418524,46.751152,28.050171,0.194218,5.284280
KOH_00107,Kohima,25.667258,93.923759,1617.057251,1292.042114,1842.452515,42.315178,55.959248,216.345947,0.164047,4.861726
KOH_00108,Kohima,25.671772,93.923794,1265.953857,1017.660034,1582.967163,42.698135,56.719044,216.183380,0.051218,5.217866
KOH_00109,Kohima,25.676287,93.923829,1041.765015,929.147522,1194.672241,32.108639,53.487179,61.919369,-0.316073,6.034357
KOH_00110,Kohima,25.680801,93.923864,1243.791748,1045.044189,1426.217529,33.816471,49.473335,40.675308,0.273478,5.118337
KOH_00111,Kohima,25.685316,93.923899,1242.281128,1071.007202,1426.145142,34.577072,53.330875,141.257202,0.175295,5.133389
KOH_00112,Kohima,25.689830,93.923933,994.107178,861.202637,1265.168091,30.296564,56.444160,127.119705,-0.167703,5.730573
KOH_00113,Kohima,25.694345,93.923968,941.543579,826.530579,1029.473999,22.886198,38.784359,58.264702,-0.162316,6.145666
KOH_00114,Kohima,25.698860,93.924003,982.729248,874.715210,1045.238281,21.173639,36.665394,178.162216,0.173978,5.374311
KOH_00115,Kohima,25.703374,93.924038,855.485718,797.593567,922.152832,14.977211,28.836958,191.797623,-0.037315,6.093856
KOH_00116,Kohima,25.707889,93.924073,754.009277,675.366638,858.514709,20.392937,40.834114,203.946411,0.043043,5.942432
KOH_00117,Kohima,25.712237,93.924281,722.688354,654.923523,884.296021,21.000317,39.471886,62.762283,-0.078430,6.226562
KOH_00118,Kohima,25.715611,93.925753,832.716858,769.990173,881.682556,28.658529,36.215378,98.057266,-0.194161,5.449329
KOH_00119,Kohima,25.600647,93.929780,1915.156982,1871.070190,1967.059448,20.830128,34.158783,154.612961,0.045360,5.687417
KOH_00120,Kohima,25.604165,93.929111,1869.581299,1797.632324,1955.951050,21.988533,34.522255,67.655556,-0.218589,6.317506
KOH_00121,Kohima,25.608556,93.928308,1902.249512,1781.442871,1995.210815,22.646441,35.628677,121.276024,0.002625,5.573153
KOH_00122,Kohima,25.613051,93.928322,1839.889893,1706.095215,1986.504883,28.510315,39.444237,87.989044,-0.101322,5.775383
KOH_00123,Kohima,25.617566,93.928357,1810.438721,1702.421387,1976.082031,28.072575,39.241055,143.469589,0.191513,5.290281
KOH_00124,Kohima,25.622081,93.928392,1713.006470,1652.061523,1900.669067,21.179384,52.252743,342.330170,-0.161779,6.183270
KOH_00125,Kohima,25.626595,93.928426,1855.181641,1714.484741,1998.245483,27.260075,51.184040,324.757782,0.021773,5.641526
KOH_00126,Kohima,25.631110,93.928461,2031.327026,1816.496338,2122.025391,24.905540,53.668373,338.493042,0.120092,5.598239
KOH_00127,Kohima,25.635624,93.928496,2162.462402,2077.297363,2216.161133,14.808183,47.062656,352.507874,0.152788,5.955073
KOH_00128,Kohima,25.640139,93.928531,2244.580078,2148.666016,2319.282471,19.851189,49.297413,336.821014,0.156933,5.525239
KOH_00129,Kohima,25.644653,93.928566,2120.520264,1875.246338,2319.897705,40.035973,56.612621,157.114685,0.107343,5.137846
KOH_00130,Kohima,25.649168,93.928601,1882.502197,1674.272949,2095.213623,39.117775,55.112942,91.490616,-0.243661,5.972068
KOH_00131,Kohima,25.653683,93.928636,1913.522949,1735.920288,2073.859131,34.897728,50.855255,106.721954,-0.020290,5.221218
KOH_00132,Kohima,25.658197,93.928671,1864.037354,1682.605225,1999.799683,34.450611,54.405964,93.561577,0.220279,5.009241
KOH_00133,Kohima,25.662712,93.928706,1682.657959,1374.475586,1860.770264,39.824665,61.473999,214.291275,0.228176,4.952890
KOH_00134,Kohima,25.667226,93.928741,1340.682495,1176.685425,1604.277344,41.357506,59.971275,205.765396,-0.339096,5.688622
KOH_00135,Kohima,25.671741,93.928776,1232.419312,1048.819214,1486.815796,41.927567,60.269699,113.856857,-0.045343,5.307581
KOH_00136,Kohima,25.676255,93.928811,1172.735352,1022.232056,1350.203735,31.360716,52.262653,35.421677,-0.318775,6.079100
KOH_00137,Kohima,25.680770,93.928846,1386.314697,1213.448120,1555.334595,29.283731,46.805752,33.730721,-0.013239,5.563420
KOH_00138,Kohima,25.685284,93.928881,1399.464722,1246.563599,1544.478882,27.840748,46.172840,147.779419,0.248825,5.115362
KOH_00139,Kohima,25.689799,93.928916,1214.120972,1027.505127,1364.511353,33.237289,54.157131,169.579590,0.214314,4.996269
KOH_00140,Kohima,25.694313,93.928951,1048.010620,974.981323,1125.808838,20.503738,36.405392,165.513138,0.027837,5.701532
KOH_00141,Kohima,25.698828,93.928986,938.373291,863.462036,1032.563232,19.740778,34.619404,201.608856,-0.065496,5.935609
KOH_00142,Kohima,25.703342,93.929021,838.770996,789.983521,909.651672,10.499200,28.123074,179.516953,0.033973,6.592293
KOH_00143,Kohima,25.707857,93.929056,732.769165,691.066040,811.556091,13.630746,38.655205,153.392960,-0.069709,7.032498
KOH_00144,Kohima,25.712371,93.929091,824.558899,689.920410,941.076965,24.341644,42.444435,21.664455,-0.015597,6.135195
KOH_00145,Kohima,25.716806,93.929223,945.864624,870.503235,1005.891357,22.727711,40.765972,130.268250,0.260054,5.239350
KOH_00146,Kohima,25.720831,93.930257,803.297058,684.402405,907.111877,25.785118,37.522667,174.255081,0.016575,5.789929
KOH_00147,Kohima,25.592079,93.934514,1800.572021,1764.154297,1845.124390,20.904491,36.714706,153.846008,-0.693082,7.575743
KOH_00148,Kohima,25.594913,93.934172,1913.852539,1774.073975,2060.233887,29.656076,41.989761,358.640137,0.144920,5.456730
KOH_00149,Kohima,25.599648,93.933405,2012.298706,1900.791626,2102.425537,22.442141,37.430321,109.077202,0.065099,5.661903
KOH_00150,Kohima,25.603991,93.933231,2007.709961,1889.857178,2104.196777,21.880604,33.082115,70.850395,-0.020713,5.935579
KOH_00151,Kohima,25.608505,93.933266,2029.425049,1920.749146,2110.638916,24.214218,41.536877,113.184357,0.171554,5.334366
KOH_00152,Kohima,25.613020,93.933301,2004.549561,1904.477173,2071.890381,30.050999,51.334885,204.052750,0.380082,4.916797
KOH_00153,Kohima,25.617534,93.933336,1828.331909,1684.874268,2009.539307,32.671112,49.168606,193.367371,0.085139,5.092947
KOH_00154,Kohima,25.622049,93.933371,1743.729126,1667.624512,1869.078491,23.573452,51.083805,73.977486,-0.133640,5.882662
KOH_00155,Kohima,25.626563,93.933406,1764.709961,1716.286621,1818.995483,12.152138,33.846104,43.133530,-0.108928,7.098851
KOH_00156,Kohima,25.631078,93.933441,1856.817749,1789.560303,2039.514893,21.324787,41.372540,0.169386,-0.197996,6.623585
KOH_00157,Kohima,25.635593,93.933476,2023.939819,1891.315674,2139.587158,27.452871,43.591896,313.369812,-0.127501,5.862621
KOH_00158,Kohima,25.640107,93.933512,2176.260010,2053.763916,2261.281738,22.644527,38.670341,340.030640,0.032118,5.680382
KOH_00159,Kohima,25.644622,93.933547,2243.747803,2125.373535,2306.117188,23.233362,56.909119,32.706249,0.183743,5.340837
KOH_00160,Kohima,25.649136,93.933582,2247.565186,2050.994873,2346.336670,30.902746,58.774277,97.024193,0.251562,5.169978
KOH_00161,Kohima,25.653651,93.933617,2155.081543,1962.428711,2309.156006,36.721695,55.944763,150.008835,0.403827,4.845038
KOH_00162,Kohima,25.658165,93.933652,1861.016968,1652.811523,2076.408936,42.419266,58.756351,174.841568,-0.279006,5.555582
KOH_00163,Kohima,25.662680,93.933687,1556.259644,1339.460693,1834.831421,41.469604,52.742336,147.013535,-0.419784,6.057868
KOH_00164,Kohima,25.667194,93.933722,1490.347412,1287.125854,1718.270264,38.469391,51.399521,74.981331,-0.197046,6.011369
KOH_00165,Kohima,25.671709,93.933758,1482.842773,1268.472534,1718.495483,39.780823,58.427254,148.017288,0.315095,4.788677
KOH_00166,Kohima,25.676223,93.933793,1296.832031,1149.692017,1454.768311,31.921671,50.873386,48.295822,-0.237921,6.186386
KOH_00167,Kohima,25.680738,93.933828,1503.695801,1377.647217,1594.067383,31.013603,62.498718,23.370932,0.244122,5.154777
KOH_00168,Kohima,25.685252,93.933863,1318.226807,1145.271240,1527.731201,37.482040,49.547974,188.180283,-0.415985,5.622729
KOH_00169,Kohima,25.689767,93.933898,1113.011230,957.771545,1243.921387,30.972828,50.717655,208.915268,-0.159334,5.672371
KOH_00170,Kohima,25.694282,93.933934,991.046997,898.791016,1080.397705,20.119602,35.536652,235.229187,0.023976,5.749774
KOH_00171,Kohima,25.698796,93.933969,873.429138,784.665283,966.097473,19.270931,39.068848,205.949615,0.001279,6.064067
KOH_00172,Kohima,25.703311,93.934004,786.790161,742.859558,868.276794,14.741728,37.453777,160.903702,-0.070632,7.027652
KOH_00173,Kohima,25.707825,93.934039,768.289673,724.681091,833.536926,16.124006,34.978306,72.092567,-0.125752,6.393697
KOH_00174,Kohima,25.712340,93.934074,900.301331,789.208313,1013.976624,22.977781,38.187733,8.685588,0.090142,5.451025
KOH_00175,Kohima,25.716854,93.934110,925.660461,800.223267,1032.518066,24.181604,41.509682,202.591187,0.033376,5.607989
KOH_00176,Kohima,25.721158,93.934248,789.050110,689.690063,879.686218,25.385393,42.044067,175.872009,-0.140498,5.793720
KOH_00177,Kohima,25.724575,93.936041,867.748657,800.511414,912.383728,38.096840,41.874428,77.060005,0.142174,4.729980
KOH_00178,Kohima,25.551112,93.939780,1581.602539,1538.678833,1613.650391,24.404526,29.277325,196.706100,0.400499,4.915588
KOH_00179,Kohima,25.552632,93.940092,1491.761353,1458.442627,1522.663330,,,,0.327637,
KOH_00180,Kohima,25.586563,93.939248,1796.706909,1712.793701,1863.272705,20.740105,34.225403,5.242313,0.027515,5.596973
KOH_00181,Kohima,25.590599,93.938396,1880.416870,1795.338013,1933.735718,21.371426,41.821342,89.972054,-0.020263,5.853715
KOH_00182,Kohima,25.594930,93.938139,1908.841431,1798.764404,2024.457275,22.557306,36.622623,15.181611,-0.138270,6.203005
KOH_00183,Kohima,25.599444,93.938175,2082.041260,1987.396606,2185.329346,25.576254,44.051556,356.386963,0.109693,5.396886
KOH_00184,Kohima,25.603959,93.938210,2084.252686,1994.208130,2186.987305,25.605770,46.788208,197.865860,0.190436,5.256686
KOH_00185,Kohima,25.608473,93.938245,1945.590576,1825.996582,2106.539307,26.029999,44.415489,202.783173,-0.096904,5.776007
KOH_00186,Kohima,25.612988,93.938280,1810.081909,1692.261841,1927.723145,27.262867,48.924419,218.535278,-0.171818,5.832096
KOH_00187,Kohima,25.617502,93.938316,1730.589111,1676.213379,1867.605835,25.080576,46.249203,320.760406,-0.252615,6.201108
KOH_00188,Kohima,25.622017,93.938351,1919.921753,1746.051880,2079.070068,31.291204,49.897972,64.840652,0.158616,5.116606
KOH_00189,Kohima,25.626532,93.938386,1896.307495,1797.023071,2028.772095,23.333548,37.244408,102.612656,-0.078583,5.847050
KOH_00190,Kohima,25.631046,93.938421,1898.731445,1828.431641,1970.568848,13.452061,31.915562,56.978802,-0.056443,6.723568
