cell_id,district,latitude,longitude,smap_ease2_grid_cell,observation_timestamp,soil_moisture_current,soil_moisture_previous,soil_moisture_change,soil_moisture_change_percent,source,source_product,source_resolution,data_status,source_timestamp,ingestion_timestamp,quality_flag
KOH_00024,Kohima,25.662868,93.903799,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00025,Kohima,25.667383,93.903833,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00026,Kohima,25.671897,93.903867,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00027,Kohima,25.676412,93.903901,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00028,Kohima,25.680926,93.903935,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00029,Kohima,25.685439,93.903972,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00030,Kohima,25.689728,93.904509,EASE2_M09_R0459_C2933,2026-09-15T18:00:00Z,0.2576,0.1659,0.0917,55.27,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00031,Kohima,25.693836,93.905628,EASE2_M09_R0459_C2933,2026-09-15T18:00:00Z,0.2576,0.1659,0.0917,55.27,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00032,Kohima,25.696804,93.906491,EASE2_M09_R0459_C2933,2026-09-15T18:00:00Z,0.2576,0.1659,0.0917,55.27,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00033,Kohima,25.628342,93.910366,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00034,Kohima,25.631493,93.908879,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00035,Kohima,25.635750,93.908575,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00036,Kohima,25.640264,93.908610,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00037,Kohima,25.644779,93.908644,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00038,Kohima,25.649293,93.908678,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00039,Kohima,25.653808,93.908712,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00040,Kohima,25.658322,93.908746,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00041,Kohima,25.662837,93.908781,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00042,Kohima,25.667352,93.908815,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
