area_id,area_name,place_type,latitude,longitude,source,source_url,source_date,state,district
KOH_LOC_065,Sendenyu,village,25.906124,94.121148,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_066,Tsonsunyu,village,25.899059,94.128436,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_067,Tsiemekhuma,village,25.884797,94.133575,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_068,Tsiemekhuma Basa,village,25.869866,94.138954,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_069,Seiyhama,village,25.863591,94.108938,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_070,Phekerkrie Bawe,village,25.861794,94.056223,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_071,Phekerkrie Basa,village,25.8838,94.040424,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_072,Viphoma,village,25.841127,94.007779,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_073,Zhadima,village,25.791176,94.064445,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_074,Nerhema,village,25.779894,94.119603,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_075,Chiephobozou,village,25.797661,94.130404,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_076,Ciechama,village,25.809368,94.139931,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_077,Gariphema,village,25.777876,94.209918,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_078,Kijumetouma,village,25.764858,94.230754,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_079,Dihoma,village,25.73393,94.197069,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_080,Thizama,village,25.744256,94.109061,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_081,Kiruphe Basa,village,25.726325,94.021926,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_082,Mengujuma,village,25.769564,94.004188,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_083,Tsiese Basa,village,25.755077,94.079773,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_084,Tsiesema Bawe,village,25.742777,94.088666,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_085,Dzuleke,village,25.620576,93.955699,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
KOH_LOC_086,T-Khel,neighbourhood,25.68012,94.116087,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,2026-09-17,Nagaland,Kohima
