area_id,area_name,cell_id,distance_to_cell_m,association_method,source
KOH_LOC_071,Phekerkrie Basa,KOH_01321,1858.91,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_071,Phekerkrie Basa,KOH_01322,1621.67,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_071,Phekerkrie Basa,KOH_01323,1519.2,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_071,Phekerkrie Basa,KOH_01324,1578.03,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_071,Phekerkrie Basa,KOH_01325,1782.21,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_071,Phekerkrie Basa,KOH_01326,2089.64,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_071,Phekerkrie Basa,KOH_01327,2461.84,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_028,Ralan,KOH_01348,2339.58,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_028,Ralan,KOH_01349,2183.65,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_001,Khonoma,KOH_01366,2234.59,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_001,Khonoma,KOH_01367,1758.32,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_001,Khonoma,KOH_01368,1301.69,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_001,Khonoma,KOH_01369,894.89,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_001,Khonoma,KOH_01370,641.33,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_001,Khonoma,KOH_01371,725.13,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_001,Khonoma,KOH_01372,1069.77,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_005,Mezoma,KOH_01373,1264.48,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_005,Mezoma,KOH_01374,1067.89,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_006,Mezo Basa,KOH_01375,804.07,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_006,Mezo Basa,KOH_01376,483.67,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_006,Mezo Basa,KOH_01377,570.45,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_007,Sechuma,KOH_01378,800.57,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_007,Sechuma,KOH_01379,513.5,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_007,Sechuma,KOH_01380,624.9,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_007,Sechuma,KOH_01381,1010.6,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_030,Sechu Zubza,KOH_01382,1313.4,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_030,Sechu Zubza,KOH_01383,1203.13,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_008,Kiruphema Bawe,KOH_01384,1228.79,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_081,Kiruphe Basa,KOH_01385,930.56,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_081,Kiruphe Basa,KOH_01386,706.29,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_081,Kiruphe Basa,KOH_01387,797.25,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_081,Kiruphe Basa,KOH_01388,1129.8,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_081,Kiruphe Basa,KOH_01389,1556.01,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_081,Kiruphe Basa,KOH_01390,2017.48,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_010,Peducha,KOH_01391,2368.11,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_072,Viphoma,KOH_01410,2358.7,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_072,Viphoma,KOH_01411,2234.04,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_072,Viphoma,KOH_01412,2218.67,nearest_centroid_max_2500m,OpenStreetMap Overpass API
